Country,ISO3,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Growth_2000,Percentage_Growth_2000,Growth_2001,Percentage_Growth_2001,Growth_2002,Percentage_Growth_2002,Growth_2003,Percentage_Growth_2003,Growth_2004,Percentage_Growth_2004,Growth_2005,Percentage_Growth_2005,Growth_2006,Percentage_Growth_2006,Growth_2007,Percentage_Growth_2007,Growth_2008,Percentage_Growth_2008,Growth_2009,Percentage_Growth_2009,Growth_2010,Percentage_Growth_2010,Growth_2011,Percentage_Growth_2011,Growth_2012,Percentage_Growth_2012,Growth_2013,Percentage_Growth_2013,Growth_2014,Percentage_Growth_2014,Growth_2015,Percentage_Growth_2015,Growth_2016,Percentage_Growth_2016,Growth_2017,Percentage_Growth_2017,Growth_2018,Percentage_Growth_2018,Average_Growth,Average_Percentage_Growth
Austria,AUT,196182.0,196477.0,212837.0,260780.0,299210.0,313952.0,333906.0,386760.0,429234.0,399290.0,389828.0,428955.0,406750.0,426581.0,438556.0,379546.0,393687.0,414926.0,452582.0,-20240.0,-9.352099139643844,295.0,0.15037057426267444,16360.0,8.326674369010114,47943.0,22.525688672552235,38430.0,14.736559552112894,14742.0,4.926974365830019,19954.0,6.355748649475079,52854.0,15.82900576809042,42474.0,10.982004343779089,-29944.0,-6.97614820820345,-9462.0,-2.3697062285556862,39127.0,10.036990672809546,-22205.0,-5.1765336690328825,19831.0,4.875476336816226,11975.0,2.8072042589801236,-59010.0,-13.455522213810777,14141.0,3.725767100693987,21239.0,5.394894929220421,37656.0,9.07535319550956,12429.473684210527,4.337826491047146
Belgium,BEL,236792.0,236746.0,258384.0,318083.0,369215.0,385715.0,408260.0,470922.0,517328.0,485015.0,481557.0,527197.0,498414.0,524097.0,537987.0,461045.0,474272.0,500909.0,542639.0,-21454.0,-8.30758269247152,-46.0,-0.019426331970674685,21638.0,9.139753153168375,59699.0,23.104758808594962,51132.0,16.0750495939739,16500.0,4.468940861015939,22545.0,5.844989175945971,62662.0,15.34855239308284,46406.0,9.854285847762474,-32313.0,-6.246133980762688,-3458.0,-0.712967640176077,45640.0,9.477590399475035,-28783.0,-5.4596289432603,25683.0,5.1529451419903936,13890.0,2.650272754852632,-76942.0,-14.301832572162523,13227.0,2.8689173508008983,26637.0,5.616397341609878,41730.0,8.330854506507169,14968.052631578947,4.362407114104036
Brazil,BRA,655448.0,559984.0,509795.0,558234.0,669289.0,891634.0,1107630.0,1397110.0,1695860.0,1667000.0,2208840.0,2616160.0,2465230.0,2472820.0,2456040.0,1802210.0,1795690.0,2063510.0,1916930.0,55806.0,9.306552909902909,-95464.0,-14.564694682110558,-50189.0,-8.962577502214348,48439.0,9.50166243293873,111055.0,19.89398710934841,222345.0,33.22107490187348,215996.0,24.224737953016596,289480.0,26.13508120942914,298750.0,21.3834272176135,-28860.0,-1.7017914214616774,541840.0,32.503899220155965,407320.0,18.440448380145234,-150930.0,-5.769142560088068,7590.0,0.30788202317836466,-16780.0,-0.678577494520426,-653830.0,-26.621309099200342,-6520.0,-0.36177803918522256,267820.0,14.914601072568203,-146580.0,-7.103430562488187,69330.94736842105,7.582634372047458
Canada,CAN,744773.0,738982.0,760649.0,895541.0,1026690.0,1173110.0,1319260.0,1468820.0,1552990.0,1374630.0,1617340.0,1793330.0,1828370.0,1846600.0,1805750.0,1556510.0,1527990.0,1649270.0,1725330.0,66361.0,9.781814000931588,-5791.0,-0.7775523548786005,21667.0,2.9320064629449702,134892.0,17.73380363347615,131149.0,14.64466730166458,146420.0,14.261364189774909,146150.0,12.458337240326994,149560.0,11.336658429725755,84170.0,5.730450293432823,-178360.0,-11.484941950688672,242710.0,17.65638753700996,175990.0,10.88144731472665,35040.0,1.9539069775222633,18230.0,0.9970629577164359,-40850.0,-2.2121737246832014,-249240.0,-13.802575107296136,-28520.0,-1.8323043218482375,121280.0,7.937224720057068,76060.0,4.611737314084413,55100.94736842105,5.410911627052618
Chile,CHL,78339.750722,71574.739561,70264.045939,76492.579644,99075.985773,122294.0,153844.0,172491.0,179895.0,171778.0,217051.0,251383.0,267025.0,277395.0,259561.0,242450.0,249345.0,276154.0,295858.0,2761.0649859999976,3.6532323354292386,-6765.011161000002,-8.635477007077325,-1310.6936219999916,-1.831223739044059,6228.533704999994,8.864467768348153,22583.406128999995,29.52365606455451,23218.014227000007,23.43455282917542,31550.0,25.79848561662878,18647.0,12.120719690075662,7404.0,4.292397864236395,-8117.0,-4.512076489063064,45273.0,26.355528647440302,34332.0,15.817480684263147,15642.0,6.222377805977334,10370.0,3.8835315045407737,-17834.0,-6.429099298833793,-17111.0,-6.59228466526173,6895.0,2.8438853371829245,26809.0,10.751769636447492,19704.0,7.135149228329121,11593.648119157893,8.036688095439436
China,CHN,1211330.0,1339400.0,1470560.0,1660280.0,1955350.0,2285960.0,2752120.0,3550330.0,4594340.0,5101690.0,6087190.0,7551550.0,8532190.0,9570470.0,10475600.0,11061600.0,11233300.0,12310500.0,13894900.0,117330.0,10.724862888482631,128070.0,10.572676314464266,131160.0,9.792444378079738,189720.0,12.9012077031879,295070.0,17.772303466885102,330610.0,16.907970440074667,466160.0,20.392307826908606,798210.0,29.003459151490485,1044010.0,29.405998878977446,507350.0,11.042935437951915,985500.0,19.31712824573818,1464360.0,24.056420121599622,980640.0,12.985943283167032,1038280.0,12.1689742024029,905130.0,9.457529254049174,586000.0,5.593951659093513,171700.0,1.552216677515007,1077200.0,9.589345962450928,1584400.0,12.87031395962796,673731.5789473684,14.531999465902476
Colombia,COL,99875.074951,98200.641203,97945.812803,94644.969157,117092.0,145601.0,161793.0,206230.0,242504.0,232469.0,286499.0,334966.0,370691.0,382094.0,381241.0,293492.0,282720.0,311867.0,334198.0,13596.127313999998,15.758336982971514,-1674.4337479999958,-1.6765281516148995,-254.82840000001306,-0.2594976945957336,-3300.843645999994,-3.370071217479235,22447.030843,23.717088232935204,28509.0,24.347521606941548,16192.0,11.12080274173941,44437.0,27.465341516629273,36274.0,17.58909954904718,-10035.0,-4.138076072971992,54030.0,23.241808585230718,48467.0,16.916987493848147,35725.0,10.665261548933325,11403.0,3.076146979559795,-853.0,-0.22324349505619037,-87749.0,-23.016674491988006,-10772.0,-3.6702874354326522,29147.0,10.309493491794,22331.0,7.16042415516871,13048.371176999999,8.158628122403167
Costa Rica,CRI,15013.629662,15976.174337,16578.820687,17271.760507,18610.594846,20040.642477,22715.540324,26884.700709,30801.7457,30745.714313,37658.616952,42762.613699,47231.655432,50949.668842,52016.408854,56441.920821,58847.01961,60516.044657,62420.164992,758.7633769999993,5.32283756178355,962.544675000001,6.411139056108689,602.6463499999991,3.7721568210751246,692.9398199999996,4.179668946798831,1338.834339000001,7.751580034110537,1430.0476310000013,7.6840511699568985,2674.897847,13.347365734755732,4169.160384999999,18.35378038793597,3917.044990999999,14.569792066491994,-56.031386999999086,-0.1819097772760298,6912.902638999996,22.484117846880082,5103.996747000005,13.553330313499307,4469.041732999998,10.450815201467693,3718.0134099999996,7.871867661621282,1066.740012000002,2.093713337584331,4425.511966999999,8.507915222332157,2405.0987890000033,4.261192308864784,1669.0250469999955,2.8362099866080124,1904.1203349999996,3.1464718915328955,2535.0157214210526,8.232426093270096
Germany,DEU,1966980.0,1966380.0,2102350.0,2534720.0,2852320.0,2893390.0,3046310.0,3484060.0,3808790.0,3479800.0,3468150.0,3824830.0,3597900.0,3808090.0,3965800.0,3423570.0,3537780.0,3763090.0,4052010.0,-246890.0,-11.151964659171496,-600.0,-0.030503614678339383,135970.0,6.91473672433609,432370.0,20.566033248507622,317600.0,12.529983587930818,41070.0,1.4398805183149157,152920.0,5.285149945219967,437750.0,14.36984417212956,324730.0,9.320447983100175,-328990.0,-8.637651327586976,-11650.0,-0.33478935571009827,356680.0,10.284445597797097,-226930.0,-5.933074149700771,210190.0,5.84201895550182,157710.0,4.141446236827386,-542230.0,-13.67265116748197,114210.0,3.3359913774218137,225310.0,6.368683185500512,288920.0,7.677732926929731,96744.21052631579,3.5955663255362027
Denmark,DNK,164044.0,164882.0,178788.0,218421.0,251986.0,265150.0,283386.0,320213.0,354979.0,322619.0,322346.0,344316.0,326793.0,344631.0,352833.0,301759.0,312182.0,331611.0,355293.0,-13844.0,-7.78242489656413,838.0,0.5108385555094974,13906.0,8.433910311616792,39633.0,22.167595140613464,33565.0,15.367112136653526,13164.0,5.2240997515735,18236.0,6.877616443522534,36827.0,12.995349099814387,34766.0,10.857148210722238,-32360.0,-9.116032215990241,-273.0,-0.08461993868928984,21970.0,6.81565770941783,-17523.0,-5.0892203673369805,17838.0,5.458501253086816,8202.0,2.3799368019708034,-51074.0,-14.475403377801962,10423.0,3.4540809056233615,19429.0,6.223613148740157,23682.0,7.1415001311777955,9337.105263157895,4.071539937034743
Spain,ESP,598103.0,627799.0,708938.0,907963.0,1069830.0,1154670.0,1261850.0,1476750.0,1636120.0,1496590.0,1427990.0,1487570.0,1330990.0,1362190.0,1380240.0,1206160.0,1243020.0,1321750.0,1431640.0,-36292.0,-5.720726046075394,29696.0,4.965031106682294,81139.0,12.924359548199343,199025.0,28.07368204271742,161867.0,17.827488565062673,84840.0,7.930231906003758,107180.0,9.282305767015684,214900.0,17.030550382375083,159370.0,10.791941764008802,-139530.0,-8.528103073124221,-68600.0,-4.583753733487461,59580.0,4.172298125337012,-156580.0,-10.525891218564505,31200.0,2.34411979053186,18050.0,1.3250721265021768,-174080.0,-12.612299310264882,36860.0,3.0559793062280294,78730.0,6.33376775916719,109890.0,8.313977681104596,41960.26315789474,4.863159604706287
Finland,FIN,125968.0,129520.0,140361.0,171613.0,197458.0,204859.0,217044.0,256360.0,285699.0,253481.0,249430.0,275127.0,257443.0,270268.0,273479.0,233211.0,238778.0,253846.0,273869.0,-9266.0,-6.851827203218126,3552.0,2.8197637495236885,10841.0,8.3701358863496,31252.0,22.265444104843937,25845.0,15.06004789846923,7401.0,3.748138844716345,12185.0,5.947993497966894,39316.0,18.114299404728996,29339.0,11.44445311281011,-32218.0,-11.276903314327317,-4051.0,-1.5981473956627912,25697.0,10.302289219420278,-17684.0,-6.42757708258368,12825.0,4.981685266253113,3211.0,1.188079979871831,-40268.0,-14.724348121793629,5567.0,2.387108669831183,15068.0,6.310464113109247,20023.0,7.8878532653656155,7296.578947368421,4.207839678719711
France,FRA,1360960.0,1370380.0,1492430.0,1835100.0,2109790.0,2192150.0,2317860.0,2655820.0,2926800.0,2700080.0,2646230.0,2870410.0,2683010.0,2816080.0,2861240.0,2442480.0,2470410.0,2588870.0,2781580.0,-125960.0,-8.47120221666263,9420.0,0.6921584763696215,122050.0,8.906288766619477,342670.0,22.960540862888042,274690.0,14.968666557680779,82360.0,3.9037060560529717,125710.0,5.7345528362566425,337960.0,14.580690809626121,270980.0,10.20325172639712,-226720.0,-7.7463441301079685,-53850.0,-1.9943853515451395,224180.0,8.471674797731112,-187400.0,-6.528684055587878,133070.0,4.959728066611753,45160.0,1.6036476236470556,-418760.0,-14.635612531629643,27930.0,1.1435098752088042,118460.0,4.795155460024854,192710.0,7.44378821648055,68140.0,3.7363753603190326
Greece,GRC,125760.0,132050.0,150254.0,196931.0,234980.0,242316.0,269073.0,314227.0,351121.0,326829.0,296418.0,283228.0,238841.0,236556.0,233912.0,194567.0,193097.0,200381.0,213299.0,-11371.0,-8.292071085312584,6290.0,5.0015903307888046,18204.0,13.785687239681938,46677.0,31.06539592955928,38049.0,19.32098044492741,7336.0,3.1219678270491107,26757.0,11.04219283910266,45154.0,16.7813195675523,36894.0,11.741193468416144,-24292.0,-6.91841274090698,-30411.0,-9.304865847277934,-13190.0,-4.449797245781295,-44387.0,-15.671826231869732,-2285.0,-0.9567034135680222,-2644.0,-1.1177057440944216,-39345.0,-16.820428195218714,-1470.0,-0.7555238041394481,7284.0,3.772197393020088,12918.0,6.4467190003044195,4008.842105263158,3.0416794595912116
"Hong Kong SAR, China",HKG,171669.0,169404.0,166349.0,161386.0,169100.0,181569.0,193535.0,211597.0,219279.0,214048.0,228639.0,248514.0,262629.0,275697.0,291460.0,309386.0,320860.0,341273.0,361731.0,5901.0,3.5597944114666284,-2265.0,-1.3193995421421456,-3055.0,-1.8033812660858066,-4963.0,-2.9834865253172547,7714.0,4.779844596185543,12469.0,7.373743347131875,11966.0,6.590332050074628,18062.0,9.332678843620016,7682.0,3.630486254531019,-5231.0,-2.3855453554603954,14591.0,6.816695320675736,19875.0,8.692742707936967,14115.0,5.6797604963905455,13068.0,4.975840444124602,15763.0,5.717508714276906,17926.0,6.150415151307212,11474.0,3.708635814160951,20413.0,6.361964719815496,20458.0,5.99461428240734,10313.842105263158,4.25648655079473
India,IND,468396.0,485440.0,514939.0,607701.0,709153.0,820384.0,940260.0,1216740.0,1198900.0,1341890.0,1675620.0,1823050.0,1827640.0,1856720.0,2039130.0,2103590.0,2294800.0,2651470.0,2702930.0,9575.0,2.0868704789013584,17044.0,3.6388013561174737,29499.0,6.076755108767304,92762.0,18.01417255247709,101452.0,16.694394118160083,111231.0,15.685049629628587,119876.0,14.612181612513165,276480.0,29.404632761151174,-17840.0,-1.4662129953811003,142990.0,11.926766202352155,333730.0,24.87014583907772,147430.0,8.798534273880714,4590.0,0.2517758701077864,29080.0,1.5911229782670548,182410.0,9.824313843767504,64460.0,3.1611520599471343,191210.0,9.089699038310698,356670.0,15.542530939515425,51460.0,1.9408101920821281,118111.0,10.091762939981233
Ireland,IRL,100208.0,109347.0,128596.0,164671.0,194372.0,211877.0,232181.0,270079.0,275447.0,236443.0,221986.0,241337.0,227271.0,243302.0,266787.0,302391.0,305733.0,348532.0,395461.0,1314.0417370000068,1.3287381353524406,9139.0,9.12003033689925,19249.0,17.60359223389759,36075.0,28.05297209866559,29701.0,18.036569887836958,17505.0,9.005926779577306,20304.0,9.58291839133082,37898.0,16.322610377248782,5368.0,1.9875666008834452,-39004.0,-14.160255874995917,-14457.0,-6.114370059591529,19351.0,8.7172164010343,-14066.0,-5.828364486174934,16031.0,7.053693608071421,23485.0,9.652612802196447,35604.0,13.345477853118782,3342.0,1.1051916227665506,42799.0,13.9988159603314,46929.0,13.4647607680213,15608.79167036842,8.014510707182632
